,id,name,alias,rating,review_count,price
32,x_oV9aGzq-lNmgPXU_tvbw,Zucker's Bagels & Smoked Fish,zuckers-bagels-and-smoked-fish-new-york,3.0,655,1.0
33,VB0iSLuIAWpJZM5QYuvmbQ,Browns Bagels,browns-bagels-new-york,3.5,183,2.0
34,hDT_KAXQgHpchcwG5_gv0Q,Wu & Nussbaum,wu-and-nussbaum-new-york,3.5,43,2.0
35,O0xFECgTDf1rbZzW9qUULQ,Peter Pan Donut & Pastry Shop,peter-pan-donut-and-pastry-shop-brooklyn-2,4.5,1299,1.0
36,5xD9KMFK48rMRP2lQZCNxA,Baker's Dozen,bakers-dozen-brooklyn,3.5,212,1.0
37,s_bkOOVmBwkNueITXriXmw,Mixtape Bushwick,mixtape-bushwick-brooklyn,4.5,78,1.0
38,IcPV1gSYBoDfJIv_jFdcOg,Line Bagels,line-bagels-brooklyn,3.5,68,1.0
39,wuzvmKPUf0xT82f5UdIJ-w,Bagel Tree,bagel-tree-new-york,3.5,39,1.0
40,QUf4eik0ipJGkBtRHNMl5g,Murray's Bagels,murrays-bagels-new-york-4,3.5,806,1.0
41,oJYQFBducPsb-497lonrTQ,Pick-A-Bagel,pick-a-bagel-new-york-6,3.5,245,1.0
42,9OT6A8a6A2CyRXv3FoWBjg,Bagels On Bartow,bagels-on-bartow-bronx,4.5,53,1.0
43,atmylNI4tEHH2dExuXnhWw,Wow Bagel,wow-bagel-ridgewood,3.5,50,1.0
44,eAWGPqVKNrUuLw7V5S8mYQ,Bagel Boss,bagel-boss-new-york-3,3.0,174,1.0
45,DklpHj1YV2CMR4VEo-TlGQ,Casella Bagel Coffee Shop,casella-bagel-coffee-shop-new-york,3.5,26,1.0
46,4OTDu-sPa5d88gnF2sfWKQ,Bagel Pub,bagel-pub-brooklyn-5,5.0,3,
47,QLFcY7eToAFQAuIEEWnXCA,Bagel Schmagel,bagel-schmagel-brooklyn,3.0,177,1.0
48,TOw3Je9Jp5tbZGNuaRm_Ag,Heartland Bagels,heartland-bagels-staten-island,4.0,94,1.0
49,O4FFQ92eT-hdSa7F5TpLTw,Inwood Bagels,inwood-bagels-new-york,3.5,89,1.0
0,yc17eYI-lv59ShQ3zMy_Bg,Pick a Bagel,pick-a-bagel-new-york-4,3.0,324,1.0
1,xCsgp_OJlMiZh9RIdoIxHA,Steve's Bagels,steves-bagels-brooklyn,3.5,102,1.0
2,w8xBvf5SI4NsL4_uzYFJyQ,731 Bagel,731-bagel-brooklyn,4.0,4,
3,9ZnOMUYyghQ0Ez_asQMHtA,Classic Coffee Shop,classic-coffee-shop-new-york,5.0,44,1.0
4,YPjN6qQmkNkMhdShPzfliA,Bagels On The Ave,bagels-on-the-ave-astoria,3.0,182,1.0
5,9uhWTKavezO5TKWMui-o3w,La Bagel Delight,la-bagel-delight-brooklyn-7,3.0,170,1.0
6,TCIUjVxXKausyWWmYqv4xA,Dyker Park Bagels,dyker-park-bagels-brooklyn,3.5,102,1.0
7,ZO9CKtJ9tvPSwEns-semKA,Zucker's Bagels & Smoked Fish,zuckers-bagels-and-smoked-fish-new-york-10,3.0,128,1.0
8,BMRU_o4Gnc2Ghj1JOAXHkw,Village Bagels,village-bagels-whitestone,4.0,11,1.0
9,GqO2I5acetVHwBszFeHabw,Bagel Pub,bagel-pub-brooklyn-3,4.0,17,
10,dxCpjQXuBiy5EqZRIGxA5Q,Marie Blachere - Manhattan,marie-blachere-manhattan-new-york-4,4.0,72,
11,XL32Ml5jcYwZp6CIxUokmw,Bread Brothers Bagel Cafe - Greenpoint,bread-brothers-bagel-cafe-greenpoint-brooklyn,3.0,101,1.0
12,WkALLrAOqGnMPhWhR4pM8w,Thompson Finest Deli,thompson-finest-deli-new-york,4.0,53,1.0
13,EoR1wQbqV0NVEhrB0X8SNg,Brooklyn Bagel & Coffee Company,brooklyn-bagel-and-coffee-company-astoria-2,4.0,419,1.0
14,7akz4cCMAn0Ze6JKMfU5oQ,Mazzola Bakery,mazzola-bakery-brooklyn,4.5,198,1.0
15,xr6jrXDti7-WGR2gfhF75Q,Bagels & Co.,bagels-and-co-new-york-18,3.0,49,1.0
16,UtyTBbBL6reUN68CvN5Lnw,Everything Bagels & Deli,everything-bagels-and-deli-bayonne,4.0,11,
17,z1fK6PvRwirX6r4KEkFVaw,Bagel Boss - Queens,bagel-boss-queens-flushing,4.0,35,
18,_kARxrcTt5HjXQIEalDGWg,Zabar's,zabars-new-york,4.0,987,2.0
19,ft4-eCqO3kukSCsOChMV_g,Chakra Cafe,chakra-cafe-sunnyside,4.5,69,
20,T1Kvh7OyCu7aq29r3jZMRQ,Mill Basin Bagel Cafe,mill-basin-bagel-cafe-brooklyn,2.5,56,1.0
21,uas-gysnqvS_Krx0kmLQ5A,Black Seed Bagels At Hudson Eats,black-seed-bagels-at-hudson-eats-new-york,2.0,186,2.0
